frame.len,frame.protocols,ip.hdr_len,ip.len,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len,tcp.ack,tcp.flags.res,tcp.flags.ns,tcp.flags.cwr,tcp.flags.ecn,tcp.flags.urg,tcp.flags.ack,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.fin,tcp.window_size,tcp.time_delta,class
1,,20,41,0,1,0,0,128,6,127.0.0.1,127.0.0.1,50230,50229,1,1,0,0,0,0,0,1,1,0,0,0,10233,0.000452000,normal
1,,20,40,0,1,0,0,128,6,127.0.0.1,127.0.0.1,50229,50230,0,4,0,0,0,0,0,1,0,0,0,0,10230,0.000040000,normal
1,,20,41,0,1,0,0,128,6,127.0.0.1,127.0.0.1,50230,50229,1,1,0,0,0,0,0,1,1,0,0,0,10233,0.465857000,normal
1,,20,40,0,1,0,0,128,6,127.0.0.1,127.0.0.1,50229,50230,0,5,0,0,0,0,0,1,0,0,0,0,10230,0.000060000,normal
1,,20,41,0,1,0,0,128,6,127.0.0.1,127.0.0.1,50230,50229,1,1,0,0,0,0,0,1,1,0,0,0,10233,0.000497000,normal
1,,20,40,0,1,0,0,128,6,127.0.0.1,127.0.0.1,50229,50230,0,6,0,0,0,0,0,1,0,0,0,0,10230,0.000038000,normal
1,,20,41,0,1,0,0,128,6,127.0.0.1,127.0.0.1,50230,50229,1,1,0,0,0,0,0,1,1,0,0,0,10233,0.000329000,normal
1,,20,40,0,1,0,0,128,6,127.0.0.1,127.0.0.1,50229,50230,0,7,0,0,0,0,0,1,0,0,0,0,10230,0.000031000,normal
1,,20,40,0,1,0,0,114,6,13.107.21.239,10.2.65.98,443,50868,0,1,0,0,0,0,0,1,0,1,0,0,0,0.000000000,normal
1,,20,41,0,1,0,0,128,6,10.2.65.98,142.250.182.78,50858,443,1,1,0,0,0,0,0,1,0,0,0,0,255,0.000000000,normal
1,,20,52,0,0,0,0,57,6,142.250.182.78,10.2.65.98,443,50858,0,2,0,0,0,0,0,1,0,0,0,0,265,0.027129000,normal
1,,20,41,0,1,0,0,128,6,10.2.65.98,142.250.182.78,50859,443,1,1,0,0,0,0,0,1,0,0,0,0,254,0.000000000,normal
1,,20,52,0,0,0,0,120,6,142.250.182.78,10.2.65.98,443,50859,0,2,0,0,0,0,0,1,0,0,0,0,322,0.025193000,normal
1,,20,41,0,1,0,0,128,6,10.2.65.98,49.44.197.226,50860,443,1,1,0,0,0,0,0,1,0,0,0,0,251,0.000000000,normal
1,,20,52,0,1,0,0,56,6,49.44.197.226,10.2.65.98,443,50860,0,2,0,0,0,0,0,1,0,0,0,0,501,0.029839000,normal
